"gender","race.ethnicity","parental.level.of.education","lunch","test.preparation.course","math.score","reading.score","writing.score","math.grade","reading.grade","writing.grade"
"male","group C","bachelor's degree","standard","none",83,78,73,"B","C","C"
"female","group C","some high school","standard","completed",85,92,93,"B","A","A"
"female","group E","high school","standard","completed",59,63,75,"F","D","C"
"female","group C","some high school","free/reduced","none",65,86,80,"D","B","B"
"male","group B","bachelor's degree","free/reduced","none",73,56,57,"C","F","F"
"male","group D","high school","standard","none",53,52,42,"F","F","F"
"male","group D","high school","standard","none",45,48,46,"F","F","F"
"female","group D","bachelor's degree","free/reduced","none",73,79,84,"C","C","B"
"female","group D","some college","free/reduced","completed",70,78,78,"C","C","C"
"female","group B","some high school","standard","none",37,46,46,"F","F","F"
"male","group B","associate's degree","standard","completed",81,82,82,"B","B","B"
"male","group E","associate's degree","standard","completed",97,82,88,"A","B","B"
"female","group B","some high school","standard","none",67,89,82,"D","B","B"
"male","group B","bachelor's degree","free/reduced","none",88,75,76,"B","C","C"
"male","group E","some high school","standard","completed",77,76,77,"C","C","C"
"male","group C","associate's degree","standard","none",76,70,68,"C","C","D"
"male","group D","some high school","standard","none",86,73,70,"B","C","C"
"male","group C","some high school","standard","completed",63,60,57,"D","D","F"
"female","group E","bachelor's degree","standard","none",65,73,75,"D","C","C"
"male","group D","high school","free/reduced","completed",78,77,80,"C","C","B"
"male","group B","associate's degree","free/reduced","none",67,62,60,"D","D","D"
"male","group A","some high school","standard","completed",46,41,43,"F","F","F"
"male","group E","associate's degree","standard","completed",71,74,68,"C","C","D"
"male","group C","high school","free/reduced","completed",40,46,50,"F","F","F"
"male","group D","associate's degree","free/reduced","none",90,87,75,"A","B","C"
"male","group A","some college","free/reduced","completed",81,78,81,"B","C","B"
"male","group D","some high school","free/reduced","none",56,54,52,"F","F","F"
"female","group C","associate's degree","standard","completed",67,84,81,"D","B","B"
"male","group B","associate's degree","standard","none",80,76,64,"B","C","D"
"female","group C","associate's degree","standard","completed",74,75,83,"C","C","B"
"male","group A","some college","standard","none",69,67,69,"D","D","D"
"male","group E","some college","standard","completed",99,87,81,"A","B","B"
"male","group C","some high school","standard","none",51,52,44,"F","F","F"
"female","group B","associate's degree","free/reduced","none",53,71,67,"F","C","D"
"female","group D","high school","free/reduced","none",49,57,52,"F","F","F"
"female","group B","associate's degree","standard","none",73,76,80,"C","C","B"
"male","group B","bachelor's degree","standard","none",66,60,57,"D","D","F"
"male","group D","bachelor's degree","standard","completed",67,61,68,"D","D","D"
"female","group C","associate's degree","free/reduced","completed",68,67,69,"D","D","D"
"female","group C","bachelor's degree","standard","completed",59,64,75,"F","D","C"
"male","group C","high school","standard","none",71,66,65,"C","D","D"
"female","group D","master's degree","standard","completed",77,82,91,"C","B","A"
"male","group C","associate's degree","standard","none",83,72,78,"B","C","C"
"male","group B","bachelor's degree","standard","none",63,71,69,"D","C","D"
"female","group D","associate's degree","free/reduced","none",56,65,63,"F","D","D"
"female","group C","high school","free/reduced","completed",67,79,84,"D","C","B"
"female","group E","high school","standard","none",75,86,79,"C","B","C"
"female","group C","some college","standard","none",71,81,80,"C","B","B"
"female","group C","some high school","free/reduced","none",43,53,53,"F","F","F"
"female","group C","high school","free/reduced","none",41,46,43,"F","F","F"
"female","group C","some college","standard","none",82,90,94,"B","A","A"
"male","group C","some college","standard","none",61,61,62,"D","D","D"
"male","group A","some college","free/reduced","none",28,23,19,"F","F","F"
"male","group C","associate's degree","standard","completed",82,75,77,"B","C","C"
"female","group B","some high school","standard","none",41,55,51,"F","F","F"
"male","group C","high school","standard","none",71,60,61,"C","D","D"
"male","group C","associate's degree","standard","none",47,37,35,"F","F","F"
"male","group E","associate's degree","standard","completed",62,56,53,"D","F","F"
"male","group B","associate's degree","standard","none",90,78,81,"A","C","B"
"female","group C","bachelor's degree","standard","none",83,93,95,"B","A","A"
"female","group B","some college","free/reduced","none",61,68,66,"D","D","D"
"male","group D","some high school","standard","completed",76,70,69,"C","C","D"
"male","group C","associate's degree","standard","none",49,51,43,"F","F","F"
"female","group B","some high school","free/reduced","none",24,38,27,"F","F","F"
"female","group D","some high school","free/reduced","completed",35,55,60,"F","F","D"
"male","group C","high school","free/reduced","none",58,61,52,"F","D","F"
"female","group C","high school","standard","none",61,73,63,"D","C","D"
"female","group B","high school","standard","completed",69,76,74,"D","C","C"
"male","group D","associate's degree","standard","completed",67,72,67,"D","C","D"
"male","group D","some college","standard","none",79,73,67,"C","C","D"
"female","group C","high school","standard","none",72,80,75,"C","B","C"
"male","group B","some college","standard","none",62,61,57,"D","D","F"
"female","group C","bachelor's degree","standard","completed",77,94,95,"C","A","A"
"male","group D","high school","free/reduced","none",75,74,66,"C","C","D"
"male","group E","associate's degree","standard","none",87,74,76,"B","C","C"
"female","group B","bachelor's degree","standard","none",52,65,69,"F","D","D"
"male","group E","some college","standard","none",66,57,52,"D","F","F"
"female","group C","some college","standard","completed",63,78,80,"D","C","B"
"female","group C","associate's degree","standard","none",46,58,57,"F","F","F"
"female","group C","some college","standard","none",59,71,70,"F","C","C"
"female","group B","bachelor's degree","standard","none",61,72,70,"D","C","C"
"male","group A","associate's degree","standard","none",63,61,61,"D","D","D"
"female","group C","some college","free/reduced","completed",42,66,69,"F","D","D"
"male","group D","some college","free/reduced","none",59,62,61,"F","D","D"
"female","group D","some college","standard","none",80,90,89,"B","A","B"
"female","group B","high school","standard","none",58,62,59,"F","D","F"
"male","group B","some high school","standard","completed",85,84,78,"B","B","C"
"female","group C","some college","standard","none",52,58,58,"F","F","F"
"female","group D","some high school","free/reduced","none",27,34,32,"F","F","F"
"male","group C","some college","standard","none",59,60,58,"F","D","F"
"male","group A","bachelor's degree","free/reduced","completed",49,58,60,"F","F","D"
"male","group C","high school","standard","completed",69,58,53,"D","F","F"
"male","group C","bachelor's degree","free/reduced","none",61,66,61,"D","D","D"
"female","group A","some high school","free/reduced","none",44,64,58,"F","D","F"
"female","group D","some high school","standard","none",73,84,85,"C","B","B"
"male","group E","some college","standard","none",84,77,71,"B","C","C"
"female","group C","some college","free/reduced","completed",45,73,70,"F","C","C"
"male","group D","some high school","standard","none",74,74,72,"C","C","C"
"female","group D","some college","standard","completed",82,97,96,"B","A","A"
"female","group D","bachelor's degree","standard","none",59,70,73,"F","C","C"
"male","group E","associate's degree","free/reduced","none",46,43,41,"F","F","F"
"female","group D","some high school","standard","none",80,90,82,"B","A","B"
"female","group D","master's degree","free/reduced","completed",85,95,100,"B","A","A"
"female","group A","some high school","standard","none",71,83,77,"C","B","C"
"male","group A","bachelor's degree","standard","none",66,64,62,"D","D","D"
"female","group B","associate's degree","standard","none",80,86,83,"B","B","B"
"male","group C","associate's degree","standard","completed",87,100,95,"B","A","A"
"male","group C","master's degree","free/reduced","none",79,81,71,"C","B","C"
"female","group E","some high school","free/reduced","none",38,49,45,"F","F","F"
"female","group A","some high school","free/reduced","none",38,43,43,"F","F","F"
"female","group E","some college","standard","none",67,76,75,"D","C","C"
"female","group E","bachelor's degree","standard","none",64,73,70,"D","C","C"
"female","group C","associate's degree","free/reduced","none",57,78,67,"F","C","D"
"female","group D","high school","standard","none",62,64,64,"D","D","D"
"male","group D","master's degree","standard","none",73,70,75,"C","C","C"
"male","group E","some high school","free/reduced","completed",73,67,59,"C","D","F"
"female","group D","some college","standard","none",77,68,77,"C","D","C"
"male","group E","some college","standard","none",76,67,67,"C","D","D"
"male","group C","associate's degree","standard","completed",57,54,56,"F","F","F"
"female","group C","some high school","standard","completed",65,74,77,"D","C","C"
"male","group A","high school","free/reduced","none",48,45,41,"F","F","F"
"female","group B","high school","free/reduced","none",50,67,63,"F","D","D"
"female","group C","associate's degree","standard","none",85,89,95,"B","B","A"
"male","group B","some high school","standard","none",74,63,57,"C","D","F"
"male","group D","some high school","standard","none",60,59,54,"D","F","F"
"female","group C","some high school","standard","completed",59,54,67,"F","F","D"
"male","group A","some college","standard","none",53,43,43,"F","F","F"
"female","group A","some college","free/reduced","none",49,65,55,"F","D","F"
"female","group D","high school","standard","completed",88,99,100,"B","A","A"
"female","group C","high school","standard","none",54,59,62,"F","F","D"
"female","group C","some high school","standard","none",63,73,68,"D","C","D"
"male","group B","associate's degree","standard","completed",65,65,63,"D","D","D"
"female","group B","associate's degree","standard","none",82,80,77,"B","B","C"
"female","group D","high school","free/reduced","completed",52,57,56,"F","F","F"
"male","group D","associate's degree","standard","completed",87,84,85,"B","B","B"
"female","group D","master's degree","standard","completed",70,71,74,"C","C","C"
"male","group E","some college","standard","completed",84,83,78,"B","B","C"
"male","group D","associate's degree","standard","none",71,66,60,"C","D","D"
"male","group B","some high school","standard","completed",63,67,67,"D","D","D"
"female","group C","bachelor's degree","free/reduced","completed",51,72,79,"F","C","C"
"male","group E","high school","standard","none",84,73,69,"B","C","D"
"male","group C","bachelor's degree","standard","completed",71,74,68,"C","C","D"
"male","group C","associate's degree","standard","none",74,73,67,"C","C","D"
"male","group D","some college","standard","none",68,59,62,"D","F","D"
"male","group E","high school","free/reduced","completed",57,56,54,"F","F","F"
"female","group C","associate's degree","free/reduced","completed",82,93,93,"B","A","A"
"female","group D","high school","standard","completed",57,58,64,"F","F","D"
"female","group D","master's degree","free/reduced","completed",47,58,67,"F","F","D"
"female","group A","some high school","standard","completed",59,85,80,"F","B","B"
"male","group B","some college","free/reduced","none",41,39,34,"F","F","F"
"female","group C","some college","free/reduced","none",62,67,62,"D","D","D"
"male","group C","bachelor's degree","standard","none",86,83,86,"B","B","B"
"male","group C","some high school","free/reduced","none",69,71,65,"D","C","D"
"male","group A","some high school","free/reduced","none",65,59,53,"D","F","F"
"male","group C","some high school","free/reduced","none",68,63,54,"D","D","F"
"male","group C","associate's degree","free/reduced","none",64,66,59,"D","D","F"
"female","group C","high school","standard","none",61,72,70,"D","C","C"
"male","group C","high school","standard","none",61,56,55,"D","F","F"
"female","group A","some high school","free/reduced","none",47,59,50,"F","F","F"
"male","group C","some high school","standard","none",73,66,66,"C","D","D"
"male","group C","some college","free/reduced","completed",50,48,53,"F","F","F"
"male","group D","associate's degree","standard","none",75,68,64,"C","D","D"
"male","group D","associate's degree","free/reduced","none",75,66,73,"C","D","C"
"male","group C","high school","standard","none",70,56,51,"C","F","F"
"male","group D","some high school","standard","completed",89,88,82,"B","B","B"
"female","group C","some college","standard","completed",67,81,79,"D","B","C"
"female","group D","high school","standard","none",78,81,80,"C","B","B"
"female","group A","some high school","free/reduced","none",59,73,69,"F","C","D"
"female","group B","associate's degree","standard","none",73,83,76,"C","B","C"
"male","group A","some high school","free/reduced","none",79,82,73,"C","B","C"
"female","group C","some high school","standard","completed",67,74,77,"D","C","C"
"male","group D","some college","free/reduced","none",69,66,60,"D","D","D"
"male","group C","high school","standard","completed",86,81,80,"B","B","B"
